,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ein,average_female_salary,average_male_salary,pay_gap,percent_male,percent_female,avg_employee_comp,highest_salary,total_compensation,web_address,num_employees,total_revenue,org_name,HighestCompensatedEmployeeInd_percent_female,IndividualTrusteeOrDirectorInd_percent_female,OfficerInd_percent_female,KeyEmployeeInd_percent_female,FormerOfcrDirectorTrusteeInd_percent_female
10779,12422,29005,1078156,273444987.0,183905.0,259994.625,29.26584539968855,66.66666666666666,33.33333333333333,53659.083018867925,544945.0,17035234.0,WWW.MUSEUMOFTHEBIBLE.ORG,277,62675127.0,MUSEUM OF THE BIBLE,40.0,22.22222222222222,10.0,,100.0
10780,12423,29007,1078245,273459916.0,0.0,220917.66666666663,100.0,100.0,0.0,35546.12087912088,346029.0,3897450.0,www.centralsouthcarpenters.org,94,8587017.0,Central South Carpenters Regional CounciCouncil,,,18.181818181818183,,
10782,12425,29016,1078811,273549225.0,0.0,191819.0,100.0,100.0,0.0,8677.282894736842,191819.0,1510766.0,WWW.THEGROWGROUP.ORG,153,1704555.0,THE GROW GROUP INC,,33.33333333333333,100.0,,
10784,12428,29031,1079914,273755556.0,196568.6,208806.5,5.860880767600623,28.57142857142857,71.42857142857143,96328.2957746479,278868.0,8239765.0,WWW.IDEO.ORG,78,14547611.0,IDEOORG,80.0,44.44444444444444,20.0,,
10787,12431,29035,1080645,273936300.0,160851.0,0.0,-1.0,0.0,100.0,49367.35426008968,160851.0,11169771.0,WWW.THEHIGHPOINTDIFFERENCE.COM,224,17367969.0,FIAFW INC,,100.0,75.0,,
10788,12432,29037,1080819,273966137.0,282957.3333333333,456981.1428571429,38.08117955059936,70.0,30.0,39081.016071428574,916436.0,47818478.0,WWW.DESERTMOUNTAIN.COM,1130,86735857.0,DESERT MOUNTAIN CLUB INC,0.0,20.0,50.0,33.33333333333333,
10790,12434,29041,1081110,274013601.0,161816.0,0.0,-1.0,0.0,100.0,44109.381625441696,161816.0,12644771.0,WWW.LEGACYPREPARATORY.COM,284,20667864.0,LEGACY21 INC,,100.0,60.0,,
10791,12435,29042,1081125,274016819.0,157796.0,0.0,-1.0,0.0,100.0,42876.60211267605,157796.0,12334751.0,HTTP://WWW.SEIU-USWW.ORG/,285,28253908.0,UNITED SERVICE WORKERS WESTSEIU USWW,,55.10204081632652,50.0,,
10792,12437,29052,1081836,274217597.0,0.0,170747.0,100.0,100.0,0.0,53067.5,170747.0,3142527.0,WWW.URBANMONTESSORI.ORG,57,4494481.0,URBAN MONTESSORI,0.0,80.0,20.0,,
10793,12438,29054,1081997,274260393.0,200260.0,0.0,-1.0,0.0,100.0,48523.92913385827,200260.0,6362799.0,WWW.YUMINGSCHOOL.ORG,128,10327063.0,YU MING CHARTER SCHOOL,66.66666666666666,37.5,50.0,,
